Y,X1,X2,X3
144030132,269,556,963
138451840,454,953,320
50224944,462,508,214
14030001,439,159,201
22402072,887,82,308
23103750,122,625,303
174796704,243,762,944
57711600,225,272,943
349816752,981,391,912
333122652,846,899,438
19583258,443,961,46
29555752,359,328,251
60816096,316,729,264
209111397,359,627,929
160463835,665,993,243
324411282,557,786,741
29972722,533,62,907
201328182,474,633,671
710434560,880,834,968
41377664,157,568,464
508551,283,3,599
102312441,343,759,393
81758976,862,114,832
4356060,919,158,30
388489968,941,564,732
8938496,86,406,256
424131015,605,753,931
3884517,21,221,837
147488640,247,960,622
147920160,349,480,883
249540203,671,971,383
69598000,170,575,712
97838895,319,889,345
683944000,799,856,1000
289798230,634,983,465
18457188,618,274,109
7610148,966,78,101
115078200,310,690,538
13282360,356,91,410
702772112,787,938,952
81902090,449,185,986
90254360,566,335,476
2761650,30,969,95
1183152,942,4,314
988527,97,43,237
202808210,583,430,809
6292465,409,17,905
29370060,794,411,90
459139626,591,869,894
169675000,275,617,1000
38320155,761,135,373
55398816,297,928,201
147841200,234,936,675
45672390,342,921,145
6517800,71,765,120
9035488,193,616,76
163767800,700,238,983
28491480,72,465,851
81741824,256,334,956
417088716,517,948,851
10915472,59,373,496
41734980,724,427,135
115444940,502,793,290
12184848,52,276,849
431277675,475,969,937
388451700,558,765,910
44621676,562,401,198
20801200,95,230,952
29966904,88,471,723
783510,41,30,637
388800,320,9,135
80266032,399,381,528
40098303,723,133,417
215084500,590,575,634
5036691,277,19,957
86464080,290,984,303
1074546,891,67,18
94029580,449,566,370
6347680,970,8,818
18211284,663,654,42
51917082,267,266,731
181010550,415,469,930
23339250,738,253,125
367266960,722,648,785
26503200,409,810,80
218731590,462,567,835
27168480,360,331,228
304573985,701,565,769
81668250,327,270,925
127882638,519,729,338
88017930,770,977,117
4030650,13,795,390
18960561,839,837,27
30881536,907,152,224
21562112,26,836,992
1311552,207,12,528
229870608,708,517,628
68655600,156,540,815
10217592,798,194,66
11164545,45,529,469
193108300,275,809,868
18045640,740,178,137
80514720,780,204,506
330813000,531,712,875
127303344,456,483,578
198713424,871,294,776
608112,3,492,412
175818291,597,451,653
14955336,33,552,821
21298860,31,990,694
121974336,192,759,837
9604980,121,378,210
64468131,479,203,663
90417492,484,407,459
111970950,210,631,845
17192138,466,79,467
65713920,157,545,768
50270100,670,305,246
197169434,371,986,539
27851054,77,401,902
202521760,560,589,614
305976880,452,905,748
168692700,561,388,775
120431766,182,893,741
14040702,226,767,81
119735568,856,818,171
239452780,482,755,658
48663268,239,218,934
17097600,548,75,416
495285289,943,797,659
154488568,377,724,566
9677745,99,399,245
131572188,627,402,522
1831537,59,37,839
43452435,793,281,195
168090260,962,505,346
28084840,322,356,245
12215280,462,40,661
17581431,379,329,141
145157836,706,922,223
81616236,299,276,989
34003008,478,912,78
14908320,153,480,203
334130550,530,915,689
1281150,9,730,195
61072452,514,123,966
36146080,548,340,194
8613099,171,241,209
131161680,692,810,234
10377072,36,612,471
98117200,307,340,940
146665836,617,837,284
126945000,930,182,750
5267892,294,527,34
56799856,272,569,367
15266784,156,104,941
61030816,517,992,119
3788800,320,80,148
318497952,464,982,699
66739400,350,247,772
4702661,101,461,101
405019296,692,792,739
78588856,971,268,302
46550735,751,539,115
974610,91,630,17
53607680,772,70,992
261744912,892,494,594
1597932,746,9,238
40985815,923,83,535
62788428,863,516,141
126269220,604,543,385
74660565,647,147,785
289384004,829,959,364
161241354,291,993,558
90389364,156,797,727
98149410,277,558,635
3619280,281,184,70
92030148,817,189,596
89294400,848,195,540
9006375,25,705,511
29984550,122,565,435
6979197,17,487,843
347474556,894,429,906
9739440,648,334,45
17606160,22,988,810
55629210,246,497,455
78255306,991,642,123
16458,13,6,211
61679592,169,548,666
28227780,180,521,301
66323080,358,785,236
41132480,80,743,692
26387580,285,316,293
281110830,370,847,897
5096140,409,623,20
156160520,557,326,860
135974944,301,743,608
36492540,269,190,714
551543904,888,972,639
55932184,248,707,319
269970400,784,970,355
165616220,473,427,820
2328648,332,501,14
26925615,747,81,445
154615646,493,821,382
34428000,453,80,950
92073696,208,627,706
161891000,425,712,535
16342950,325,58,867
1057050,81,174,75
144303860,947,802,190
173239104,944,373,492
22775896,52,946,463
47726910,231,970,213
71174313,147,643,753
142581600,492,920,315
282256800,634,795,560
288767934,923,546,573
245700,135,130,14
131279400,300,483,906
115540992,448,597,432
41880384,819,799,64
20358450,483,562,75
4827654,351,26,529
3094624,86,692,52
136117248,751,192,944
605138226,903,734,913
426607860,745,714,802
102061464,212,618,779
13148464,784,541,31
467203464,973,513,936
0,813,87,0
46361952,464,819,122
653842768,839,919,848
100273726,562,359,497
182906570,374,623,785
112874190,317,715,498
112646755,755,499,299
220382162,469,682,689
30340500,179,678,250
9432740,95,964,103
4916112,876,92,61
7236312,222,58,562
123372060,510,259,934
2670327,297,37,243
5674968,43,846,156
581448150,755,774,995
121016472,268,466,969
106613650,715,481,310
10561278,182,841,69
3581760,40,984,91
19451840,683,160,178
19662240,184,822,130
106027614,674,681,231
148834812,371,662,606
12422556,73,489,348
3394965,735,149,31
49696920,273,555,328
177483180,532,345,967
219151521,989,783,283
74147024,469,241,656
750421152,852,936,941
232967784,716,889,366
103016312,488,569,371
256945650,391,674,975
69851866,301,394,589
6218784,132,52,906
59403750,365,375,434
26701612,947,212,133
139773227,937,191,781
4262007,47,181,501
678670974,937,789,918
43636480,73,640,934
45501396,809,218,258
24897577,947,431,61
33895272,199,188,906
20524812,458,231,194
103419162,462,249,899
1796022,113,883,18
25380230,601,82,515
33573540,156,715,301
243761496,394,654,946
41522220,285,639,228
26927065,187,155,929
349293120,970,726,496
96938760,164,610,969
341202,1,438,779
5832190,29,595,338
62004371,403,781,197
91320624,412,393,564
51223363,887,79,731
1712988,933,4,459
232441875,961,625,387
525825,41,45,285
124409285,385,871,371
23811840,960,106,234
27331920,396,986,70
110880144,564,387,508
4140000,625,92,72
170899430,937,230,793
22093776,514,597,72
13286454,417,89,358
30537985,409,109,685
1237788,471,18,146
3475210,83,158,265
60352380,489,204,605
119400792,431,291,952
4243248,36,746,158
141348585,581,993,245
41898180,230,626,291
111329680,847,848,155
48142200,309,328,475
889677,3,397,747
168571182,499,426,793
90003798,171,722,729
50149098,334,747,201
91011200,224,956,425
25472576,992,74,347
352858310,931,755,502
192226860,410,549,854
144381952,442,638,512
27719195,365,133,571
28860975,65,585,759
59559300,129,475,972
16594944,512,219,148
98890857,823,507,237
51552872,301,542,316
5267020,178,269,110
212177880,405,664,789
583718850,990,965,611
28102464,162,834,208
33103660,428,499,155
188716905,367,585,879
25973220,201,710,182
222559920,765,912,319
77779920,760,222,461
5887884,148,89,447
32453172,73,477,932
31660170,241,174,755
65831599,289,361,631
3168480,120,28,943
672201348,962,786,889
11813648,602,223,88
53171852,524,127,799
1585389,689,177,13
141110748,666,298,711
615543323,817,929,811
264538456,518,793,644
61302960,562,606,180
64236480,960,847,79
163316790,459,910,391
13610114,82,917,181
45282662,323,382,367
43726816,706,112,553
383114176,731,608,862
145957504,472,616,502
64314848,824,494,158
113314775,929,697,175
96460000,910,250,424
21613410,585,58,637
93185500,250,577,646
4369131,13,963,349
72729774,423,221,778
134606792,361,508,734
96746,793,122,1
53090180,260,209,977
278569680,412,885,764
4576264,418,119,92
26771472,908,126,234
468898743,933,799,629
200603700,276,825,881
37090500,313,150,790
56674530,393,506,285
517254672,888,913,638
167611680,958,324,540
362255040,544,755,882
33034624,916,49,736
7926660,30,567,466
415734720,822,928,545
164223700,254,670,965
19810350,175,331,342
19951140,111,215,836
148978088,652,859,266
31204836,69,507,892
1347843,159,173,49
115173630,715,513,314
22162140,164,429,315
30291885,795,977,39
44944614,429,919,114
15927100,373,610,70
149435964,876,303,563
72646875,123,675,875
95127750,829,510,225
432618732,949,804,567
33755400,470,798,90
32682528,972,72,467
65805075,175,513,733
20688300,150,381,362
38750481,693,57,981
42698016,648,228,289
42592704,84,688,737
40964760,106,570,678
250465024,976,373,688
199304756,491,436,931
128309985,821,755,207
62425748,841,308,241
631097936,922,952,719
177890958,846,399,527
105965648,164,652,991
115423200,200,943,612
57104801,523,481,227
90142688,608,173,857
19092320,335,274,208
271019196,794,567,602
422450028,617,988,693
93828800,694,650,208
71060000,275,850,304
995400,75,28,474
172448952,366,697,676
162929408,817,256,779
46434480,255,599,304
50695036,644,223,353
2576070,658,5,783
69098496,542,664,192
3979668,73,66,826
57050880,332,358,480
40139,41,979,1
4151992,332,13,962
10342276,14,862,857
13749183,959,177,81
29118200,820,53,670
113031936,474,324,736
408673564,796,949,541
123356520,810,196,777
304086750,451,750,899
35126355,165,593,359
102080160,360,988,287
33221110,607,130,421
102871600,520,542,365
14106885,73,195,991
59393880,91,888,735
43757868,142,506,609
143847342,542,333,797
23357664,803,72,404
40177800,150,404,663
375179910,449,865,966
6133540,386,227,70
83097241,323,701,367
126311601,741,373,457
4989285,315,47,337
336691080,891,402,940
5888922,733,39,206
41536638,351,242,489
2807142,493,39,146
44198757,453,111,879
450460920,994,546,830
192852492,796,249,973
346500,396,875,1
595177382,821,841,862
158626692,708,681,329
70150080,949,231,320
56447792,388,148,983
254858760,923,708,390
388044702,642,717,843
1278046,86,193,77
182769132,966,766,247
5239608,132,223,178
176860704,372,536,887
44424384,96,577,802
24229600,155,160,977
14723082,318,671,69
240472370,305,958,823
134784300,692,795,245
11621232,432,183,147
61771600,808,139,550
364385544,579,811,776
6813120,302,376,60
237406728,871,984,277
85878688,632,844,161
86757258,942,413,223
20661200,56,470,785
49163760,240,281,729
52593905,455,343,337
37569120,415,328,276
228032280,980,834,279
402917346,807,962,519
5396820,65,222,374
4288680,361,18,660
251775750,645,925,422
16415032,149,376,293
24249084,138,853,206
55534104,136,769,531
578548100,767,794,950
4260526,107,463,86
68367852,399,218,786
10731792,67,282,568
53808832,488,154,716
85267308,87,994,986
239191716,454,634,831
183743184,614,888,337
2347488,57,416,99
187293165,899,817,255
237022120,701,856,395
529067200,734,848,850
116877708,549,452,471
180560268,903,228,877
62246503,367,187,907
16775430,111,170,889
64186560,190,612,552
18598513,937,23,863
206112,114,452,4
87828273,369,663,359
163696428,463,644,549
76387500,750,485,210
171234000,840,225,906
42017976,371,396,286
127299996,223,606,942
325584,57,102,56
244215,243,15,67
218447450,850,689,373
49852584,719,642,108
151300800,912,474,350
84823200,187,810,560
14883840,80,192,969
118306052,163,842,862
80248242,529,386,393
26427044,59,941,476
358845300,541,900,737
141646351,253,661,847
280773945,457,999,615
236227816,881,554,484
23195480,70,443,748
7005321,327,193,111
582301690,877,991,670
68106969,811,217,387
95184,8,661,18
26978816,92,928,316
33800984,326,196,529
379833720,595,804,794
15179088,202,248,303
75572613,521,227,639
267489040,905,637,464
157455957,321,983,499
208709056,556,809,464
44444268,171,726,358
17088848,614,142,196
125165502,209,873,686
48505872,292,508,327
27316920,60,466,977
668187144,783,888,961
25311600,150,178,948
92570115,885,257,407
207072756,396,919,569
332673536,604,832,662
1016928,27,856,44
3182400,850,96,39
226590090,626,409,885
150470502,301,663,754
68297016,951,764,94
84571761,687,257,479
260737568,782,364,916
58218888,456,427,299
68725800,178,585,660
21183981,611,273,127
59371312,728,337,242
16438730,577,185,154
74428112,869,404,212
226162560,884,312,820
12745950,199,610,105
68705013,773,159,559
279698400,563,800,621
32971536,81,412,988
19857576,103,554,348
209028950,706,325,911
115794720,240,582,829
391132188,996,669,587
378251240,610,779,796
84367220,266,322,985
143917488,348,723,572
79895376,946,306,276
1105818,233,6,791
189994540,655,571,508
10792320,584,105,176
423427840,671,986,640
578045160,735,993,792
133197072,201,664,998
431243480,620,914,761
515773676,799,863,748
14929530,161,562,165
213093101,461,481,961
74834340,223,357,940
194881330,490,859,463
166377344,896,647,287
14053168,977,248,58
191106180,865,722,306
11951040,633,20,944
21029800,605,395,88
8681643,111,93,841
141689184,662,336,637
24332880,143,240,709
38497040,361,215,496
60427143,147,521,789
555958854,561,998,993
76478220,455,207,812
120603648,768,946,166
28959840,884,195,168
32266146,362,803,111
7955129,817,107,91
129697050,210,745,829
424747601,799,797,667
18748548,531,97,364
61555896,684,849,106
3384036,134,138,183
93547980,907,955,108
1758120,196,39,230
7407008,769,602,16
14586000,650,120,187
42632736,204,346,604
68735128,482,463,308
223915941,929,339,711
75073725,267,575,489
102837471,789,451,289
123864705,277,523,855
15102720,95,216,736
8060052,77,429,244
48595848,516,434,217
79087988,563,406,346
32437080,520,717,87
2783634,191,21,694
11596984,37,386,812
93354030,709,133,990
300503040,768,670,584
202050,150,3,449
24930304,376,259,256
22178880,180,906,136
165710160,488,495,686
104100480,992,265,396
10595728,842,968,13
126432516,526,291,826
11774880,37,416,765
194249106,859,739,306
120116160,233,720,716
7849512,153,53,968
61425936,942,627,104
230975028,927,746,334
13379192,89,817,184
337348830,762,973,455
25754112,96,972,276
257827248,868,446,666
547055460,878,645,966
9293130,77,270,447
22167600,175,728,174
113318982,742,639,239
13718626,53,782,331
26042520,56,515,903
9150624,153,336,178
18102600,534,113,300
17172153,369,269,173
19319560,260,106,701
98600,29,680,5
115122413,457,371,679
29410560,80,432,851
132202560,955,224,618
324783648,647,664,756
149375340,621,633,380
152882775,395,705,549
81027330,545,213,698
8265108,214,942,41
26716800,160,726,230
111919288,659,284,598
323229925,769,425,989
220174400,368,775,772
305597600,880,770,451
69965280,631,440,252
433901220,723,811,740
241636773,653,789,469
100953216,819,192,642
38898483,211,377,489
519222990,953,858,635
265658400,672,753,525
0,570,0,490
23062600,953,100,242
213571760,632,719,470
145520000,535,400,680
47910842,593,199,406
117578300,436,335,805
5820178,113,91,566
4975110,35,954,149
73742592,928,86,924
53527530,415,222,581
89518737,483,581,319
169972608,624,862,316
45497088,728,126,496
139077120,398,672,520
7560749,329,469,49
445912236,602,946,783
12000096,129,544,171
133517160,696,783,245
107539575,925,143,813
30503616,484,312,202
39161522,431,502,181
12710868,282,62,727
65919392,863,124,616
199959192,342,596,981
11509425,867,45,295
61028352,258,616,384
445740000,552,950,850
106113784,724,551,266
63584326,94,853,793
99772068,557,708,253
111959400,665,488,345
235980000,575,450,912
12378120,445,114,244
23272704,504,52,888
203214906,678,459,653
70861350,490,465,311
90867480,803,984,115
81336016,146,664,839
454882428,546,971,858
80383680,226,741,480
121452640,556,508,430
27321408,489,388,144
119958564,803,236,633
42336788,988,587,73
3875850,450,957,9
217437990,385,833,678
99102498,913,237,458
14006720,370,52,728
245838006,822,761,393
394334831,803,719,683
22211399,53,437,959
19127475,75,387,659
387098856,636,722,843
23477220,254,585,158
59858892,941,171,372
293265980,595,607,812
241705296,432,963,581
6284934,414,799,19
79203930,611,145,894
60657786,679,709,126
141055320,322,490,894
12624360,665,42,452
1302720,115,354,32
1468800,360,60,68
12024320,976,224,55
19172886,753,439,58
277911,27,141,73
145248215,655,401,553
41520843,131,351,903
38486448,89,468,924
413246218,847,662,737
54782688,258,368,577
577090575,725,951,837
176565664,772,253,904
173244240,892,260,747
161925504,978,832,199
374192880,718,606,860
176469645,979,305,591
76275000,904,625,135
25488408,268,242,393
17313087,319,237,229
35018270,413,139,610
51681525,861,245,245
10281960,169,130,468
2824432,367,104,74
707746116,946,987,758
33624448,52,968,668
35830080,145,286,864
116550,777,150,1
4793250,105,913,50
167011740,714,678,345
52707915,141,405,923
28436760,36,835,946
208540800,390,960,557
233854236,922,366,693
133027000,200,971,685
110943924,364,849,359
1929216,6,512,628
25286701,647,323,121
8319528,971,168,51
9628800,272,600,59
337860432,413,828,988
9429900,255,43,860
41682690,607,654,105
607770366,631,994,969
36993600,225,224,734
274766265,915,503,597
550154150,650,917,923
7470000,20,750,498
72791136,243,407,736
2209168,19,169,688
6158230,635,373,26
325898720,938,430,808
144029100,850,911,186
114723752,187,694,884
6810432,898,48,158
238014720,485,568,864
237369132,941,364,693
196602120,594,380,871
15091020,70,609,354
224116200,594,700,539
29792842,137,454,479
152307216,279,669,816
72959040,588,440,282
14801646,38,827,471
88768000,584,500,304
105237711,599,241,729
22388076,54,558,743
413114779,601,869,791
61067040,328,214,870
144319098,627,802,287
607314632,722,892,943
1035840,664,26,60
32107350,183,725,242
3808350,630,15,403
275275904,856,398,808
237779052,719,762,434
0,352,24,0
35229654,486,73,993
415098432,972,984,434
277386624,874,684,464
28333800,954,330,90
122520816,874,531,264
294584784,348,892,949
83121192,726,174,658
1715175,7,297,825
147673368,648,811,281
82233216,342,442,544
114803431,337,691,493
2423520,45,264,204
75190815,317,315,753
242107984,503,898,536
59454060,727,188,435
117411840,882,832,160
148438656,648,412,556
24425654,803,67,454
57839760,440,402,327
52533936,456,633,182
2839816,646,7,628
62666416,499,188,668
10017216,558,22,816
10027185,445,29,777
138599808,488,388,732
54898338,339,374,433
37114848,243,688,222
30581600,602,400,127
195387450,570,895,383
274131000,390,990,710
87431520,660,571,232
1271940,645,2,986
95964000,150,727,880
50636625,85,845,705
33112896,348,626,152
9429376,407,181,128
121958850,325,442,849
182824290,405,578,781
318268416,662,939,512
241242155,451,899,595
189042176,512,629,587
233887360,740,581,544
162049965,811,385,519
150271500,830,425,426
9349140,19,834,590
71336916,508,189,743
43221960,267,760,213
127432448,767,649,256
12877056,162,276,288
93073248,699,584,228
154523632,706,872,251
48659952,471,587,176
108058005,419,495,521
590027040,995,928,639
20442744,376,63,863
299894694,814,541,681
9306276,357,343,76
59323320,441,760,177
685347712,791,896,967
129650976,864,679,221
80595216,468,339,508
14330730,410,183,191
9513504,847,27,416
166819920,643,276,940
3542000,88,70,575
4084830,405,246,41
117660760,490,694,346
16782980,530,142,223
60540480,495,672,182
36385440,784,105,442
142649910,405,713,494
5142456,129,604,66
187556090,881,610,349
1367856,708,84,23
8344952,644,589,22
36986600,911,203,200
31038956,302,134,767
618448096,791,922,848
1101915,423,521,5
99467544,204,599,814
72491454,831,434,201
15143625,641,189,125
4846506,7,771,898
43501878,153,883,322
406364400,570,780,914
6104000,700,872,10
24894540,726,90,381
148947183,807,187,987
3954600,130,156,195
46701600,976,957,50
5095314,371,654,21
318589380,916,531,655
308476740,858,785,458
622068512,746,988,844
35012250,325,810,133
177220349,809,439,499
312624970,701,554,805
272160,648,10,42
10701262,923,62,187
214982544,488,714,617
103792434,537,401,482
561373200,881,944,675
159841224,706,662,342
10957758,102,149,721
191712906,987,297,654
1836096,8,393,584
7261254,117,682,91
135556335,837,183,885
4257000,645,8,825
321616185,363,979,905
435235680,516,990,852
10755612,694,82,189
27260,94,290,1
28575585,243,811,145
425791200,970,590,744
186508490,370,749,673
209749582,553,953,398
757670078,902,947,887
91424470,730,901,139
33079480,740,721,62
200728155,681,353,835
49394306,317,461,338
44833680,144,853,365
1323824,314,68,62
482868,3,204,789
1904430,638,199,15
313845328,509,866,712
28254000,277,816,125
74434260,263,890,318
36444096,942,48,806
361300338,981,777,474
131256216,966,871,156
39673856,928,256,167
146243960,530,683,404
65360000,152,500,860
17381100,458,165,230
358636080,786,935,488
103246731,863,189,633
99547200,558,223,800
226595200,838,320,845
9326880,254,612,60
513973368,654,829,948
451707840,864,942,555
153183150,545,347,810
37499088,237,176,899
278647740,973,430,666
11862774,77,243,634
888844824,942,956,987
516294912,701,768,959
41418,3,26,531
208606752,417,648,772
69279462,921,126,597
311620140,741,860,489
285267084,372,899,853
44873360,706,280,227
507446440,614,961,860
30486960,263,460,252
92612940,763,204,595
9763733,329,503,59
12270960,494,552,45
328047291,747,913,481
5759520,195,416,71
25651692,633,614,66
177100560,585,742,408
21280160,856,44,565
11139450,175,309,206
2556792,684,7,534
77436216,654,858,138
603786960,810,783,952
33453648,933,996,36
236809944,392,903,669
4235328,32,513,258
4877376,32,399,382
108573696,952,288,396
70902370,110,847,761
72933543,639,367,311
6045600,264,458,50
137686536,442,612,509
4292040,15,376,761
15393040,26,722,820
13602624,84,698,232
8143980,39,985,212
158460570,510,711,437
196440780,458,510,841
696128258,787,938,943
57038516,334,206,829
840360,149,282,20
126297275,905,247,565
75555324,116,879,741
78492204,214,369,994
44714600,779,574,100
24465408,512,88,543
6262496,856,62,118
179952921,321,729,769
22137840,831,36,740
203417536,776,868,302
345623600,530,680,959
19362240,540,72,498
359636700,850,934,453
85393371,609,499,281
115271310,359,834,385
252475392,754,436,768
44987418,938,219,219
285256895,847,965,349
0,883,604,0
338914125,405,895,935
332521904,913,412,884
10622700,150,638,111
65341575,251,585,445
14875240,746,997,20
70142800,164,611,700
134037540,501,546,490
13247984,47,892,316
373760,40,64,146
217912032,783,624,446
338969817,731,603,769
12097620,521,215,108
312799110,689,818,555
214032,12,26,686
61164480,845,416,174
113137932,284,723,551
53101200,680,822,95
27975015,895,151,207
142239258,406,747,469
33663098,101,931,358
118574456,338,938,374
279523650,903,755,410
10037016,76,759,174
7033268,179,517,76
3427200,525,102,64
135843872,296,578,794
79060275,505,441,355
83591838,769,162,671
46757424,536,217,402
158008752,492,396,811
105467010,165,797,802
378517104,597,666,952
533198976,683,912,856
4488864,46,107,912
45434496,179,384,661
57382560,370,216,718
196785240,984,851,235
61498440,333,228,810
486005520,952,714,715
32435018,242,287,467
507603390,839,670,903
134417205,573,585,401
42444156,554,678,113
434664288,786,843,656
7848360,26,585,516
19194084,558,441,78
171104428,407,454,926
5305294,937,19,298
82035180,270,641,474
20493,9,3,759
22231450,985,37,610
129987396,693,462,406
466543,511,913,1
127124368,358,373,952
6556254,646,199,51
85854384,203,432,979
37520288,94,494,808
29515968,261,192,589
167309074,883,211,898
7182054,66,963,113
928242,21,834,53
121242576,677,182,984
88711488,233,576,661
12926976,384,128,263
101433132,444,813,281
48974400,537,475,192
108813000,950,996,115
51136500,375,934,146
97169624,839,467,248
147759534,967,234,653
26106588,314,447,186
79375528,398,292,683
13284150,194,913,75
9882000,100,405,244
5297314,209,29,874
18284643,461,117,339
13155450,67,357,550
366497040,519,776,910
182552450,977,202,925
199275570,362,585,941
0,254,468,0
84288750,525,325,494
306033,59,13,399
20200970,215,431,218
27536598,531,603,86
9347960,466,68,295
100953650,893,170,665
5488128,128,794,54
424129104,868,588,831
2208123,9,703,349
45250920,132,879,390
